sessionId,tasks,stress,sleep,deadline,postureScore,baselineLoad,flowmindLoad,improvement,improvementPercent,risk,topFactor
EXP-20260530223017-794,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223023-248,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223024-544,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223025-207,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223026-119,6,6,6,7,9,52.3,28.3,24.0,45.9,Moderate Load,stress
EXP-20260530223026-454,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223027-462,6,6,6,7,9,52.3,31.3,21.0,40.2,Moderate Load,stress
EXP-20260530223028-989,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223029-886,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223029-640,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223030-885,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260530223030-936,6,6,6,7,8,53.2,25.0,28.2,53.0,Moderate Load,stress
EXP-20260530223620-180,6,6,6,7,10,51.5,29.5,22.0,42.7,Moderate Load,stress
EXP-20260531153528-271,2,2,9,2,10,17.6,25.0,-7.4,-42.0,Low Load,stress
EXP-20260531153618-335,3,2,8,3,10,22.7,25.0,-2.3,-10.1,Low Load,tasks
EXP-20260531153623-566,3,2,8,3,9,23.1,25.0,-1.9,-8.2,Low Load,tasks
EXP-20260531153712-600,1,3,9,2,10,17.6,25.0,-7.4,-42.0,Low Load,stress
EXP-20260531153902-977,5,3,9,2,9,25.7,25.0,0.7,2.7,Low Load,tasks
EXP-20260531153913-392,4,4,9,2,9,25.7,25.0,0.7,2.7,Low Load,stress
EXP-20260531153924-251,4,4,6,2,9,33.7,25.0,8.7,25.8,Low Load,stress
EXP-20260531153941-850,4,7,6,2,9,42.2,25.0,17.2,40.8,Low Load,stress
EXP-20260531154437-562,4,7,5,2,7,45.2,25.0,20.2,44.7,Moderate Load,stress
EXP-20260531154449-243,4,7,5,5,8,48.9,25.0,23.9,48.9,Moderate Load,stress
EXP-20260531154505-791,4,6,5,5,9,45.6,25.0,20.6,45.2,Moderate Load,stress
EXP-20260531154516-319,8,6,5,5,8,55.9,25.0,30.9,55.3,Moderate Load,tasks
EXP-20260531154528-707,8,6,5,6,9,57.8,25.0,32.8,56.7,Moderate Load,tasks
EXP-20260531154558-784,7,6,5,6,9,54.6,25.0,29.6,54.2,Moderate Load,stress
EXP-20260531154609-388,7,6,6,6,9,52.8,25.8,27.0,51.1,Moderate Load,stress
EXP-20260531154641-394,9,6,6,6,9,55.7,35.7,20.0,35.9,Moderate Load,tasks
EXP-20260531154653-572,9,6,6,4,10,51.9,25.0,26.9,51.8,Moderate Load,tasks
EXP-20260531154708-274,9,6,6,7,9,58.1,35.1,23.0,39.6,Moderate Load,tasks
EXP-20260531154718-375,7,6,6,7,10,53.9,25.0,28.9,53.6,Moderate Load,stress
EXP-20260531154730-778,6,6,6,7,9,52.3,25.0,27.3,52.2,Moderate Load,stress
EXP-20260531155057-801,6,6,6,4,10,45.2,25.0,20.2,44.7,Moderate Load,stress
EXP-20260531155116-732,9,7,6,4,10,54.4,25.0,29.4,54.0,Moderate Load,tasks
EXP-20260531155420-469,9,6,6,4,10,51.9,30.9,21.0,40.5,Moderate Load,tasks
EXP-20260531155642-628,9,4,6,4,9,48.1,25.0,23.1,48.0,Moderate Load,tasks
EXP-20260531155659-879,6,4,6,6,9,47.7,25.0,22.7,47.6,Moderate Load,tasks
EXP-20260531155710-780,6,4,6,7,10,48.2,25.0,23.2,48.1,Moderate Load,deadline
EXP-20260531155742-801,9,9,6,7,9,65.3,36.3,29.0,44.4,Moderate Load,stress
EXP-20260531155752-671,9,7,6,7,9,62.4,33.4,29.0,46.5,Moderate Load,tasks
EXP-20260531160139-674,11,6,6,6,9,59.4,35.4,24.0,40.4,Moderate Load,tasks
EXP-20260531160150-313,9,6,6,6,9,55.7,25.0,30.7,55.1,Moderate Load,tasks
EXP-20260531160201-818,8,6,6,6,10,54.2,29.2,25.0,46.1,Moderate Load,tasks
EXP-20260531160217-379,12,6,6,6,10,60.2,25.0,35.2,58.5,Moderate Load,tasks
EXP-20260531160236-353,8,6,8,8,9,53.9,25.0,28.9,53.6,Moderate Load,tasks
EXP-20260531160313-526,7,9,8,10,9,62.4,32.4,30.0,48.1,Moderate Load,stress
EXP-20260531160338-574,11,9,8,7,10,65.8,35.8,30.0,45.6,Moderate Load,tasks
EXP-20260531160351-603,11,10,9,7,9,66.4,30.4,36.0,54.2,Moderate Load,stress
